audit_date,table_name,live_row_count,domain,primary_app_owner,other_app_consumers,role,authoritative_fields,duplicated_or_derived_fields,authority_status,live_schema_vs_code_status,issue_tags,notes
2026-05-05,admin_audit_log,124,admin,Herman-Admin,,audit_log,id; actor_admin_user_id; action_type; target_type; target_id; created_at,before_json; after_json; request_id,authoritative,aligned,,Canonical admin audit trail.
2026-05-05,admin_permissions,54,admin,Herman-Admin,,access_control,admin_user_id; permission_key,,authoritative,aligned,,Canonical permission grants.
2026-05-05,admin_scopes,9,admin,Herman-Admin,,access_control,admin_user_id; scope_type; reseller_partner_id; tenant_id; group_id,,authoritative,aligned,,Canonical scope grants.
2026-05-05,admin_sessions,34,admin,Herman-Admin,,session_state,id; admin_user_id; issued_at; expires_at; revoked_at; mfa_verified_at,last_seen_at; user_agent; source_ip,authoritative,aligned,,Admin-only session lifecycle.
2026-05-05,admin_users,9,admin,Herman-Admin,herman_portal,admin_entitlement,user_id_hash; role; is_active,,authoritative,aligned,,Canonical admin entitlement with FK-backed auth identity integrity.
2026-05-05,alembic_version,1,migrations,herman-db,all apps,migration_metadata,version_num,,authoritative,aligned,,Canonical shared-schema migration head.
2026-05-05,alembic_version_herman_portal,1,migrations,legacy,herman_portal,migration_metadata,version_num,,legacy_metadata,legacy_retained,LEGACY_MIGRATION_METADATA,Legacy portal migration marker retained for compatibility; no longer authoritative for the shared schema.
2026-05-05,auth_mfa_challenges,34,auth,herman_portal,Herman-Admin,auth_mfa,id; user_id_hash; challenge_type; requested_app; code_hash; expires_at; consumed_at; attempt_count; created_at,,authoritative,aligned,,Canonical MFA challenge store.
2026-05-05,auth_sessions,114,auth,herman_portal,,portal_session,session_token_hash; user_id_hash; expires_at; revoked_at; admin_mfa_verified_at,created_at; last_seen_at,authoritative,aligned,,Canonical portal session store.
2026-05-05,auth_user_credentials,14,auth,herman_portal,Herman-Admin,credential_store,user_id_hash; password_hash; password_algorithm; password_set_at; failed_login_attempts; locked_until,last_login_at,authoritative,aligned,LAST_LOGIN_DUPLICATION,Canonical password store; last_login_at still also appears on auth_users.
2026-05-05,auth_users,16,auth,shared,Herman-Admin; herman_portal; herman-prompt; prompt_transformer,principal_identity,email; user_id_hash; display_name; is_active; last_login_at,tenant_id is a derived primary-tenant pointer,authoritative_with_derived_pointer,aligned,DERIVED_PRIMARY_TENANT_POINTER|IDENTITY_DUPLICATION,Canonical shared identity table. auth_users.is_admin has been retired; tenant_id is now a compatibility pointer synchronized from primary membership.
2026-05-05,behaviorial_adj,9,profile,prompt_transformer,Herman-Admin,profile_layer,user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version,same schema as other profile-layer tables,overlay_layer,aligned,PROFILE_LAYER_DUPLICATION|TABLE_NAMING_DRIFT,Higher-order overlay layer; spelling drift in table name remains.
2026-05-05,brain_chemistry,9,profile,prompt_transformer,Herman-Admin,profile_layer,user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version,same schema as other profile-layer tables,overlay_layer,aligned,PROFILE_LAYER_DUPLICATION,Higher-order overlay layer.
2026-05-05,conversation_folders,6,prompt,herman-prompt,,prompt_ui_state,id; user_id_hash; name,created_at; updated_at,authoritative,aligned,,Prompt-only UI grouping state under canonical migration governance.
